"ISIC31code","partialISIC31","ISIC4code","partialISIC4","Detail"
"5252",1,"4781",0,""
"5252",1,"4782",0,""
"5252",1,"4789",0,""
"5259",1,"4791",1,"Internet retail auctions"
"5259",1,"4799",0,""
"5260",1,"3313",1,"Repair of cameras (except digital cameras)"
"5260",1,"8020",1,"Locksmiths"
"5260",1,"9512",1,"Repair of communication equipment, household-type (e.g. cell phones)"
"5260",1,"9521",1,"Repair of consumer electronics"
"5260",1,"9522",0,""
"5260",1,"9523",0,""
"5260",1,"9524",1,"Household furniture and home furnishings repair"
"5260",1,"9529",0,""
"5510",1,"5510",0,""
"5510",1,"5520",0,""
"5510",1,"5590",0,""
"5520",1,"5610",0,""
"5520",1,"5621",0,""
"5520",1,"5629",0,""
"5520",1,"5630",0,""
"6010",1,"4911",0,""
"6010",1,"4912",0,""
"6010",1,"5221",1,"Switching and shunting"
"6021",1,"4921",0,""
"6021",1,"4922",1,"Airport shuttles, school buses"
"6022",0,"4922",1,""
"6023",0,"4923",0,""
"6030",0,"4930",0,""
"6110",1,"5011",0,""
"6110",1,"5012",0,""
"6120",1,"5021",0,""
"6120",1,"5022",0,""
"6210",1,"5110",1,"Transport of passengers by air over regular routes and by regular schedules"
"6210",1,"5120",1,"Transport of freight by air over regular routes and by regular schedules"
"6220",1,"5110",1,"Charter flights and other non-scheduled passenger transportation by air; scenic and sightseeing flights; renting of air-transport equipment with operator (for passenger transport)"
"6220",1,"5120",1,"Non-scheduled transport of freight by air; renting of air-transport equipment with operator (for freight transport); space transport; launching of satellites and space vehicles"
"6301",0,"5224",0,""
"6302",0,"5210",0,""
"6303",1,"3315",1,"Maintenance and minor repair of rolling stock"
"6303",1,"5221",1,"Service activities incidental to road transportation (operation of infrastructure)"
"6303",1,"5222",0,""
"6303",1,"5223",0,""
"6304",1,"7911",0,""
"6304",1,"7912",0,""
"6304",1,"7990",1,"Provision of visitor assistance services; provision of travel-related reservation services; provision of time-share exchange services"
"6309",1,"5229",0,""
"6309",1,"7490",1,"Bill auditing and freight rate information"
"6411",1,"5310",0,""
"6411",1,"8219",1,"Mailbox rental"
"6412",0,"5320",0,""
"6420",1,"6110",0,""
"6420",1,"6120",0,""
"6420",1,"6130",0,""
"6420",1,"6190",0,""
"6511",0,"6411",0,""
"6519",0,"6419",1,""
"6591",0,"6491",0,""
"6592",1,"6492",0,""
"6592",1,"6499",1,"Factoring services"
"6599",1,"6420",0,""
"6599",1,"6430",0,""
"6599",1,"6499",1,"Other financial service activities; except holding companies, trusts and funds, leasing of intellectual property products, grant giving activities, factoring services"
"6599",1,"6619",1,"Administration of trusts and private estates"
"6599",1,"7740",0,""
"6599",1,"9499",1,"Grant giving activities by membership organizations"
"6601",1,"6511",1,"Life insurance"
"6601",1,"6520",1,"Reinsurance (life)"
"6602",1,"6530",0,""
"6602",1,"6630",1,"Pension fund management"
"6603",1,"6511",1,"Disability insurance"
"6603",1,"6512",0,""
"6603",1,"6520",1,"Reinsurance (non-life)"
"6711",0,"6611",0,""
"6712",1,"6612",1,"Security dealing"
"6712",1,"6630",1,"Mutual fund management, other investment fund management"
"6719",1,"6419",1,"Money order issuing activities"
"6719",1,"6612",1,"""Bureaux de change"""
"6719",1,"6619",1,"Except ""Bureaux de change"""
"6720",1,"6621",0,""
"6720",1,"6622",0,""
"6720",1,"6629",0,""
"7010",1,"4290",1,"Subdividing and improving buildable lots for sale"
"7010",1,"6810",1,"Real estate activities with own or leased property (see other links for exceptions)"
"7020",1,"6820",1,"Real estate activities on a fee or contract basis (see other links for exceptions)"
"7020",1,"8110",0,""
"7111",1,"7710",0,""
"7111",1,"7730",1,"Renting of motorcycles, caravans, campers, railroad vehicles; containers and pallets"
"7112",0,"7730",1,""
"7113",0,"7730",1,""
"7121",0,"7730",1,""
"7122",0,"7730",1,""
"7123",0,"7730",1,""
"7129",0,"7730",1,""
"7130",1,"7721",0,""
"7130",1,"7722",0,""
"7130",1,"7729",0,""
"7130",1,"7730",1,"Rental of office furniture, institutional furniture"
"7210",0,"6202",1,""
"7221",0,"5820",1,""
"7229",1,"6201",0,""
"7229",1,"6202",1,"Software design or consultancy as part of designing a complete computer system solution for a user"
"7230",1,"6202",1,"Provision of on-site management and operation of clients' computer systems and/or data processing facilities"
"7230",1,"6311",0,""
"7240",1,"5811",1,"On-line publishing of books etc."
"7240",1,"5812",1,"On-line publishing of directories and mailing lists"
"7240",1,"5813",1,"On-line publishing of newspapers etc."
"7240",1,"5819",1,"On-line publishing of other information (greeting cards, statistics etc.), database publishing"
"7240",1,"5820",1,"On-line software publishing"
"7240",1,"5920",1,"On-line music publishing"
"7240",1,"6010",1,"Internet radio broadcasting"
"7240",1,"6020",1,"Internet TV broadcasting"
"7240",1,"6312",0,""
"7250",1,"3312",1,"Repair of office machinery and equipment, except computers and peripheral equipment"
"7250",1,"9511",0,""
"7290",0,"6209",0,""
"7310",1,"7210",0,""
"7310",1,"7220",1,"Multi-disciplinary research and development predominantly on social sciences and humanities"
"7320",0,"7220",1,""
"7411",0,"6910",0,""
"7412",0,"6920",0,""
"7413",0,"7320",0,""
"7414",1,"7010",0,""
"7414",1,"7020",0,""
"7414",1,"7490",1,"Agronomists and agricultural economists"
"7414",1,"8550",1,"Educational testing"
"7421",1,"0910",1,"Oil and gas field exploration"
"7421",1,"0990",1,"Exploration of mine sites, except oil and gas"
"7421",1,"7110",0,""
"7421",1,"7410",1,"Industrial design of tools, seating, automobiles, packaging etc."
"7421",1,"7490",1,"Weather forecasting activities; quantity surveyors; activities of technical consultants (other than engineers etc.)"
"7422",0,"7120",1,""
"7430",0,"7310",1,""
"7491",1,"7810",1,"Personnel search, selection referral and placement activities, including executive placement and search activities"
"7491",1,"7820",0,""
"7491",1,"7830",0,""
"7492",1,"7490",1,"Security consultancy"
"7492",1,"8010",0,""
"7492",1,"8020",1,"Remote-monitoring of security systems"
"7492",1,"8030",0,""
"7493",1,"8121",0,""
"7493",1,"8129",1,"General cleaning of buildings"
"7494",0,"7420",1,""
"7495",0,"8292",0,""
"7499",1,"6399",0,""
"7499",1,"7310",1,"Merchandise demonstrations, mannequin decoration"
"7499",1,"7410",1,"Specialized design activities"
"7499",1,"7490",1,"Other professional, scientific and technical activities, e.g. translation services, business brokerage services, appraisal services (other than real estate or insurance), weather forecasting etc. (see other links for exceptions)"
"7499",1,"8211",0,""
"7499",1,"8219",1,"Photocopying, document preparation and specialized office support activities; mailing activities"
"7499",1,"8220",0,""
"7499",1,"8230",0,""
"7499",1,"8291",0,""
"7499",1,"8299",0,""
"7499",1,"8550",1,"Student exchange programmes, educational consultancy"
"7511",0,"8411",1,""
"7512",0,"8412",0,""
"7513",1,"7990",1,"Tourism promotion"
"7513",1,"8413",0,""
"7514",1,"6810",1,"Management of government buildings (owned or leased)"
"7514",1,"6820",1,"Management of government buildings (fee or contract basis)"
"7514",1,"8411",1,"Supporting service activities for the government as a whole, except operation of government archives and government buildings"
"7514",1,"9101",1,"Operation of government archives"
"7521",1,"8421",0,""
"7521",1,"8890",1,"International disaster or conflict refugee services"
"7522",0,"8422",0,""
"7523",1,"7120",1,"Police laboratories"
"7523",1,"8423",0,""
"7530",0,"8430",0,""
"8010",0,"8510",0,""
"8021",0,"8521",0,""
"8022",0,"8522",1,""
"8030",0,"8530",0,""
"8090",1,"8522",1,"Driving schools for occupational drivers etc."
"8090",1,"8542",1,"Art instruction"
"8090",1,"8549",1,"Education other than primary, secondary or higher education; excluding art instruction, lifeguard training, support activities etc."
"8511",0,"8610",0,""
"8512",0,"8620",0,""
"8519",1,"8690",0,""
"8519",1,"8710",0,""
"8519",1,"8720",1,"Care to people with mental retardation, mental illness, or substance abuse problems, providing room, board, protective supervision, counseling and some health services by sanatoria, preventoria, rehabilitation centres and similar (but not licensed hospitals)"
"8519",1,"8730",1,"Continuing-care retirement communities"
"8520",0,"7500",0,""
"8531",1,"8720",1,"Residential care for mental retardation, mental health and substance abuse"
"8531",1,"8730",1,"Residential care for the elderly and disabled"
"8531",1,"8790",0,""
"8532",1,"8550",1,"Educational guidance counseling"
"8532",1,"8810",0,""
"8532",1,"8890",1,"Social work activities without accommodation (except for the elderly and handicapped)"
"9000",1,"3700",0,""
"9000",1,"3811",0,""
"9000",1,"3812",1,"Collection of hazardous waste"
"9000",1,"3821",1,"Treatment and disposal of non-hazardous waste; except compost"
"9000",1,"3822",1,"Treatment and disposal of hazardous waste"
"9000",1,"3900",1,"Remediation activities"
"9000",1,"8129",1,"Street sweeping, snow and ice removal"
"9000",1,"8130",1,"Watering gardens, parks, streets, markets etc."
"9111",0,"9411",0,""
"9112",0,"9412",0,""
"9120",0,"9420",0,""
"9191",0,"9491",0,""
"9192",0,"9492",0,""
"9199",0,"9499",1,""
"9211",1,"5911",1,"Production of motion pictures, videos or television programmes"
"9211",1,"5912",1,"Post-production activities for motion pictures or videos (e.g. editing, developing)"
"9211",1,"5913",0,""
"9211",1,"5920",1,"Sound-recording activities"
"9212",0,"5914",0,""
"9213",1,"5911",1,"Production of television programmes"
"9213",1,"5920",1,"Production of taped (i.e. non-live) radio programming"
"9213",1,"6010",1,"Radio broadcasting"
"9213",1,"6020",1,"Television programming and broadcasting activities"
"9214",1,"7990",1,"Ticket sales for theatrical events"
"9214",1,"9000",1,"Production of live artistic presentations, activities of individual artists"
"9219",1,"7990",1,"Ticket sales for entertainment events"
"9219",1,"8542",1,"Dance schools"
"9219",1,"9000",1,"Circus production, puppet shows"
"9219",1,"9321",0,""
"9219",1,"9329",1,"Rodeos, activities of shooting galleries, firework display, model railway installations etc.; discotheques and dance halls; producers of live events, other than arts or sports"
"9220",1,"6391",0,""
"9220",1,"7420",1,"Independent photojournalists"
"9220",1,"9000",1,"Independent journalists"
"9231",1,"5912",1,"Stock footage libraries"
"9231",1,"9101",1,"Library and archives activities (see other links for exceptions)"
"9232",0,"9102",0,""
"9233",0,"9103",0,""
"9241",1,"4922",1,"Operation of ski lifts"
"9241",1,"7990",1,"Ticket sales for sports events"
"9241",1,"8541",1,"Sports and game instruction; instruction in recreational activities (e.g. bridge)"
"9241",1,"8549",1,"Lifeguard training"
"9241",1,"9311",0,""
"9241",1,"9312",0,""
"9241",1,"9319",0,""
"9241",1,"9329",1,"Operation of ski hills"
"9249",1,"7810",1,"Casting activities for motion picture, TV or theater"
"9249",1,"9200",0,""
"9249",1,"9329",1,"Recreation parks, beaches, marinas, recreational fairs and shows, coin-operated games"
"9301",0,"9601",0,""
"9302",0,"9602",0,""
"9303",0,"9603",0,""
"9309",1,"8541",1,"Yoga instruction"
"9309",1,"9609",0,""
"9500",0,"9700",0,""
"9600",0,"9810",0,""
"9700",0,"9820",0,""
"9900",0,"9900",0,""
